idx,sing,plur,freq
_,bars,bar,_
_,bases,base,_
_,bashes,bash,_
_,batters,batter,_
_,battles,battle,_
_,bears,bear,_
_,beats,beat,_
_,becomes,become,_
_,bedevils,bedevil,_
_,beefs,beef,_
_,begins,begin,_
_,behaves,behave,_
_,belies,belie,_
_,believes,believe,_
_,bellows,bellow,_
_,belongs,belong,_
_,bends,bend,_
_,benefits,benefit,_
_,bets,bet,_
_,is,are,_
_,bids,bid,_
_,bills,bill,_
_,bites,bite,_
_,blackmails,blackmail,_
_,blames,blame,_
_,blasts,blast,_
_,bleeds,bleed,_
_,blends,blend,_
_,blesses,bless,_
_,blinks,blink,_
_,blocks,block,_
_,blows,blow,_
_,blunders,blunder,_
_,blunts,blunt,_
_,blurs,blur,_
_,boards,board,_
_,boasts,boast,_
_,bodes,bode,_
_,bogs,bog,_
_,bolsters,bolster,_
_,bombs,bomb,_
_,booms,boom,_
_,boosts,boost,_
_,borrows,borrow,_
_,bothers,bother,_
_,bottles,bottle,_
_,bounces,bounce,_
_,bows,bow,_
_,braces,brace,_
_,brags,brag,_
_,branches,branch,_
_,braves,brave,_
_,brazens,brazen,_
_,breaches,breach,_
_,breaks,break,_
_,breeds,breed,_
_,brews,brew,_
_,bribes,bribe,_
_,bridges,bridge,_
_,briefs,brief,_
_,brings,bring,_
_,broadcasts,broadcast,_
_,broadens,broaden,_
_,browbeats,browbeat,_
_,brushes,brush,_
_,buckles,buckle,_
_,bucks,buck,_
_,budges,budge,_
_,buffers,buffer,_
_,buffets,buffet,_
_,builds,build,_
_,bumbles,bumble,_
_,bumps,bump,_
_,buoys,buoy,_
_,burns,burn,_
_,buries,bury,_
_,buttresses,buttress,_
_,butts,butt,_
_,buy-backs,buy-back,_
_,buys,buy,_
_,buzzes,buzz,_
_,bypasses,bypass,_
_,calculates,calculate,_
_,calls,call,_
_,calms,calm,_
_,cancels,cancel,_
_,capitalizes,capitalize,_
_,captures,capture,_
_,caps,cap,_
_,careens,careen,_
_,cares,care,_
_,caricatures,caricature,_
_,carries,carry,_
_,cashes,cash,_
_,casts,cast,_
_,catapults,catapult,_
_,catches,catch,_
_,caters,cater,_
_,causes,cause,_
_,cautions,caution,_
_,ceases,cease,_
_,cedes,cede,_
_,celebrates,celebrate,_
_,cements,cement,_
_,centralizes,centralize,_
_,certifies,certify,_
_,challenges,challenge,_
_,changes,change,_
_,channels,channel,_
_,characterizes,characterize,_
_,charges,charge,_
_,charts,chart,_
_,chases,chase,_
_,chats,chat,_
_,chauffeurs,chauffeur,_
_,cheats,cheat,_
_,checks,check,_
_,cheers,cheer,_
_,chews,chew,_
_,chills,chill,_
_,chisels,chisel,_
_,chokes,choke,_
_,chooses,choose,_
_,chops,chop,_
_,churns,churn,_
_,cinches,cinch,_
_,circulates,circulate,_
_,circumvents,circumvent,_
_,cites,cite,_
_,claims,claim,_
_,clamps,clamp,_
_,clarifies,clarify,_
_,clashes,clash,_
_,classifies,classify,_
_,cleanses,cleanse,_
_,cleans,clean,_
_,clears,clear,_
_,climbs,climb,_
_,clings,cling,_
_,clips,clip,_
_,clobbers,clobber,_
_,closes,close,_
_,clouds,cloud,_
_,clutters,clutter,_
_,coaches,coach,_
_,coaxes,coax,_
_,codes,code,_
_,co-exists,co-exist,_
_,coheres,cohere,_
_,co-hosts,co-host,_
_,coincides,coincide,_
_,collaborates,collaborate,_
_,collapses,collapse,_
_,collects,collect,_
_,combats,combat,_
_,combines,combine,_
_,comes,come,_
_,commands,command,_
_,commemorates,commemorate,_
_,commends,commend,_
_,comments,comment,_
_,commercializes,commercialize,_
_,commits,commit,_
_,communicates,communicate,_
_,compares,compare,_
_,compels,compel,_
_,compensates,compensate,_
_,competes,compete,_
_,compiles,compile,_
_,complains,complain,_
_,complements,complement,_
_,completes,complete,_
_,complicates,complicate,_
_,complies,comply,_
_,compounds,compound,_
_,comprises,comprise,_
_,compromises,compromise,_
_,computerizes,computerize,_
_,computes,compute,_
_,conceals,conceal,_
_,concedes,concede,_
_,conceives,conceive,_
_,concentrates,concentrate,_
_,concerns,concern,_
_,concludes,conclude,_
_,condemns,condemn,_
_,condones,condone,_
_,conducts,conduct,_
_,confers,confer,_
_,confirms,confirm,_
_,confiscates,confiscate,_
_,conforms,conform,_
_,confronts,confront,_
_,confuses,confuse,_
_,congratulates,congratulate,_
_,connects,connect,_
_,connotes,connote,_
_,conquers,conquer,_
_,consents,consent,_
_,conserves,conserve,_
_,considers,consider,_
_,consists,consist,_
_,consoles,console,_
_,consolidates,consolidate,_
_,constitutes,constitute,_
_,constrains,constrain,_
_,constructs,construct,_
_,construes,construe,_
_,consults,consult,_
_,consumes,consume,_
_,contacts,contact,_
_,contains,contain,_
_,contemplates,contemplate,_
_,contemporizes,contemporize,_
_,contends,contend,_
_,contents,content,_
_,continues,continue,_
_,contracts,contract,_
_,contrasts,contrast,_
_,contributes,contribute,_
_,controls,control,_
_,cons,con,_
_,convenes,convene,_
_,converts,convert,_
_,conveys,convey,_
_,convicts,convict,_
_,convinces,convince,_
_,cooks,cook,_
_,cools,cool,_
_,cooperates,cooperate,_
_,coordinates,coordinate,_
_,copes,cope,_
_,co-produces,co-produce,_
_,copies,copy,_
_,corners,corner,_
_,corrals,corral,_
_,corrects,correct,_
_,corresponds,correspond,_
_,co-sponsors,co-sponsor,_
_,costs,cost,_
_,coughs,cough,_
_,countenances,countenance,_
_,counteracts,counteract,_
_,counterprograms,counterprogram,_
_,counters,counter,_
_,counts,count,_
_,courts,court,_
_,covers,cover,_
_,cracks,crack,_
_,crafts,craft,_
_,cranks,crank,_
_,crashes,crash,_
_,crawls,crawl,_
_,creaks,creak,_
_,creates,create,_
_,credits,credit,_
_,crests,crest,_
_,criminalizes,criminalize,_
_,crimps,crimp,_
_,criticizes,criticize,_
_,crops,crop,_
_,crosses,cross,_
_,crumbles,crumble,_
_,crunches,crunch,_
_,crushes,crush,_
_,cries,cry,_
_,cuffs,cuff,_
_,curbs,curb,_
_,cures,cure,_
_,curls,curl,_
_,curries,curry,_
_,curtails,curtail,_
_,cushions,cushion,_
_,cuts,cut,_
_,dabbles,dabble,_
_,damages,damage,_
_,dampens,dampen,_
_,damps,damp,_
_,dances,dance,_
_,dares,dare,_
_,dashes,dash,_
_,dates,date,_
_,deals,deal,_
_,debates,debate,_
_,debunks,debunk,_
_,debuts,debut,_
_,deceives,deceive,_
_,decides,decide,_
_,declares,declare,_
_,declines,decline,_
_,decreases,decrease,_
_,deducts,deduct,_
_,defaults,default,_
_,defeats,defeat,_
_,defects,defect,_
_,defends,defend,_
_,defers,defer,_
_,defines,define,_
_,deflects,deflect,_
_,defrauds,defraud,_
_,defuses,defuse,_
_,degenerates,degenerate,_
_,delays,delay,_
_,delegates,delegate,_
_,deliberates,deliberate,_
_,delights,delight,_
_,delivers,deliver,_
_,demands,demand,_
_,demilitarizes,demilitarize,_
_,demobilizes,demobilize,_
_,democratizes,democratize,_
_,demolishes,demolish,_
_,demonstrates,demonstrate,_
_,denudes,denude,_
_,denies,deny,_
_,departs,depart,_
_,depends,depend,_
_,depicts,depict,_
_,deposits,deposit,_
_,depresses,depress,_
_,deprives,deprive,_
_,derails,derail,_
_,deregulates,deregulate,_
_,describes,describe,_
_,deserts,desert,_
_,deserves,deserve,_
_,designates,designate,_
_,designs,design,_
_,desists,desist,_
_,destabilizes,destabilize,_
_,destroys,destroy,_
_,detects,detect,_
_,deteriorates,deteriorate,_
_,determines,determine,_
_,deters,deter,_
_,detracts,detract,_
_,develops,develop,_
_,devises,devise,_
_,devotes,devote,_
_,dials,dial,_
_,dictates,dictate,_
_,dies,die,_
_,differentiates,differentiate,_
_,differs,differ,_
_,digests,digest,_
_,dignifies,dignify,_
_,digs,dig,_
_,dilutes,dilute,_
_,diminishes,diminish,_
_,dips,dip,_
_,directs,direct,_
_,disagrees,disagree,_
_,disappears,disappear,_
_,disappoints,disappoint,_
_,disarms,disarm,_
_,disassembles,disassemble,_
_,disassociates,disassociate,_
_,disbands,disband,_
_,discards,discard,_
_,discerns,discern,_
_,discloses,disclose,_
_,discomfits,discomfit,_
_,disconnects,disconnect,_
_,discontinues,discontinue,_
_,discounts,discount,_
_,discourages,discourage,_
_,discovers,discover,_
_,discredits,discredit,_
_,discusses,discuss,_
_,disdains,disdain,_
_,disengages,disengage,_
_,disguises,disguise,_
_,dishes,dish,_
_,dislikes,dislike,_
_,dismantles,dismantle,_
_,dismembers,dismember,_
_,dismisses,dismiss,_
_,disobeys,disobey,_
_,disparages,disparage,_
_,dispatches,dispatch,_
_,dispels,dispel,_
_,dispenses,dispense,_
_,displaces,displace,_
_,displays,display,_
_,disposes,dispose,_
_,disproves,disprove,_
_,disputes,dispute,_
_,disqualifies,disqualify,_
_,disregards,disregard,_
_,disrupts,disrupt,_
_,dissipates,dissipate,_
_,dissociates,dissociate,_
_,dissolves,dissolve,_
_,dissuades,dissuade,_
_,distances,distance,_
_,distinguishes,distinguish,_
_,distorts,distort,_
_,distracts,distract,_
_,distributes,distribute,_
_,disturbs,disturb,_
_,diverges,diverge,_
_,diversifies,diversify,_
_,diverts,divert,_
_,divests,divest,_
_,divides,divide,_
_,doctors,doctor,_
_,documents,document,_
_,doles,dole,_
_,dominates,dominate,_
_,donates,donate,_
_,dons,don,_
_,doubles,double,_
_,doubts,doubt,_
_,does,do,_
_,downsizes,downsize,_
_,drafts,draft,_
_,drags,drag,_
_,drains,drain,_
_,drapes,drape,_
_,draws,draw,_
_,dreams,dream,_
_,dresses,dress,_
_,drifts,drift,_
_,drills,drill,_
_,drinks,drink,_
_,drives,drive,_
_,drops,drop,_
_,drowns,drown,_
_,drums,drum,_
_,dries,dry,_
_,dumps,dump,_
_,duplicates,duplicate,_
_,dwarfs,dwarf,_
_,earmarks,earmark,_
_,earns,earn,_
_,eases,ease,_
_,eats,eat,_
_,eavesdrops,eavesdrop,_
_,ebbs,ebb,_
_,echoes,echo,_
_,eclipses,eclipse,_
_,economizes,economize,_
_,edges,edge,_
_,edits,edit,_
_,educates,educate,_
_,effects,effect,_
_,elaborates,elaborate,_
_,elects,elect,_
_,eliminates,eliminate,_
_,elongates,elongate,_
_,emasculates,emasculate,_
_,embarks,embark,_
_,embarrasses,embarrass,_
_,embellishes,embellish,_
_,embraces,embrace,_
_,emerges,emerge,_
_,emotes,emote,_
_,empathizes,empathize,_
_,emphasizes,emphasize,_
_,emphaticizes,emphaticize,_
_,employs,employ,_
_,empties,empty,_
_,emulates,emulate,_
_,enables,enable,_
_,enacts,enact,_
_,encapsulates,encapsulate,_
_,encompasses,encompass,_
_,encounters,encounter,_
_,encourages,encourage,_
_,endangers,endanger,_
_,endeavors,endeavor,_
_,endorses,endorse,_
_,endures,endure,_
_,ends,end,_
_,enforces,enforce,_
_,engages,engage,_
_,engineers,engineer,_
_,enhances,enhance,_
_,enjoins,enjoin,_
_,enjoys,enjoy,_
_,enlarges,enlarge,_
_,enlists,enlist,_
_,enrolls,enroll,_
_,ensues,ensue,_
_,ensures,ensure,_
_,entails,entail,_
_,enters,enter,_
_,entices,entice,_
_,entitles,entitle,_
_,entrenches,entrench,_
_,entrusts,entrust,_
_,envisions,envision,_
_,equals,equal,_
_,equates,equate,_
_,equips,equip,_
_,eradicates,eradicate,_
_,erases,erase,_
_,erects,erect,_
_,erodes,erode,_
_,erupts,erupt,_
_,escalates,escalate,_
_,escapes,escape,_
_,establishes,establish,_
_,estimates,estimate,_
_,evades,evade,_
_,evaluates,evaluate,_
_,evaporates,evaporate,_
_,evens,even,_
_,evolves,evolve,_
_,exacerbates,exacerbate,_
_,exaggerates,exaggerate,_
_,examines,examine,_
_,exceeds,exceed,_
_,excepts,except,_
_,exchanges,exchange,_
_,excludes,exclude,_
_,excorciates,excorciate,_
_,excuses,excuse,_
_,executes,execute,_
_,exempts,exempt,_
_,exercises,exercise,_
_,exhausts,exhaust,_
_,exhibits,exhibit,_
_,exists,exist,_
_,exits,exit,_
_,exorcises,exorcise,_
_,expands,expand,_
_,expects,expect,_
_,expedites,expedite,_
_,expels,expel,_
_,experiences,experience,_
_,expires,expire,_
_,explains,explain,_
_,explodes,explode,_
_,exploits,exploit,_
_,explores,explore,_
_,exports,export,_
_,exposes,expose,_
_,expresses,express,_
_,expunges,expunge,_
_,extends,extend,_
_,extinguishes,extinguish,_
_,extorts,extort,_
_,extracts,extract,_
_,extricates,extricate,_
_,fabricates,fabricate,_
_,faces,face,_
_,facilitates,facilitate,_
_,factors,factor,_
_,fades,fade,_
_,fails,fail,_
_,falls,fall,_
_,falsifies,falsify,_
_,familiarizes,familiarize,_
_,fantasizes,fantasize,_
_,fares,fare,_
_,farms,farm,_
_,fashions,fashion,_
_,favors,favor,_
_,fears,fear,_
_,features,feature,_
_,feeds,feed,_
_,feels,feel,_
_,fends,fend,_
_,ferrets,ferret,_
_,ferries,ferry,_
_,festers,fester,_
_,fetches,fetch,_
_,fields,field,_
_,fights,fight,_
_,figures,figure,_
_,files,file,_
_,fills,fill,_
_,finances,finance,_
_,finds,find,_
_,fine-tunines,fine-tune,_
_,fines,fine,_
_,fingers,finger,_
_,finishes,finish,_
_,fires,fire,_
_,firms,firm,_
_,fits,fit,_
_,fixes,fix,_
_,flashes,flash,_
_,flattens,flatten,_
_,flaunts,flaunt,_
_,flays,flay,_
_,flees,flee,_
_,flinches,flinch,_
_,flips,flip,_
_,floats,float,_
_,floods,flood,_
_,flounders,flounder,_
_,flourishes,flourish,_
_,flows,flow,_
_,fluctuates,fluctuate,_
_,flushes,flush,_
_,flies,fly,_
_,focuses,focus,_
_,fogs,fog,_
_,foils,foil,_
_,folds,fold,_
_,follows,follow,_
_,fools,fool,_
_,foots,foot,_
_,forces,force,_
_,forecasts,forecast,_
_,foresees,foresee,_
_,forfeits,forfeit,_
_,forgets,forget,_
_,forges,forge,_
_,forgives,forgive,_
_,forgoes,forgo,_
_,formulates,formulate,_
_,forms,form,_
_,fosters,foster,_
_,frames,frame,_
_,franchises,franchise,_
_,frees,free,_
_,freezes,freeze,_
_,freights,freight,_
_,frets,fret,_
_,frightens,frighten,_
_,frolics,frolic,_
_,frustrates,frustrate,_
_,fudges,fudge,_
_,fuels,fuel,_
_,fulfills,fulfill,_
_,functions,function,_
_,funds,fund,_
_,funnels,funnel,_
_,furnishes,furnish,_
_,furthers,further,_
_,gains,gain,_
_,galvanizes,galvanize,_
_,gambles,gamble,_
_,gardens,garden,_
_,garners,garner,_
_,gasps,gasp,_
_,gathers,gather,_
_,gauges,gauge,_
_,genders,gender,_
_,generalizes,generalize,_
_,generates,generate,_
_,gets,get,_
_,gives,give,_
_,glamorizes,glamorize,_
_,glazes,glaze,_
_,gleans,glean,_
_,glides,glide,_
_,gloats,gloat,_
_,glosses,gloss,_
_,gluts,glut,_
_,gons,gon,_
_,gores,gore,_
_,goes,go,_
_,governs,govern,_
_,grabs,grab,_
_,graces,grace,_
_,grants,grant,_
_,grapples,grapple,_
_,grasps,grasp,_
_,grimaces,grimace,_
_,grounds,ground,_
_,groups,group,_
_,growths,growth,_
_,grows,grow,_
_,guarantees,guarantee,_
_,guards,guard,_
_,guesses,guess,_
_,guides,guide,_
_,guts,gut,_
_,guzzles,guzzle,_
_,hacks,hack,_
_,halts,halt,_
_,halves,halve,_
_,hammers,hammer,_
_,hampers,hamper,_
_,handicaps,handicap,_
_,handles,handle,_
_,hands,hand,_
_,hangs,hang,_
_,happens,happen,_
_,harasses,harass,_
_,harms,harm,_
_,hastens,hasten,_
_,hates,hate,_
_,hauls,haul,_
_,haunts,haunt,_
_,haves,have,_
_,heads,head,_
_,heals,heal,_
_,hears,hear,_
_,heats,heat,_
_,hedges,hedge,_
_,heeds,heed,_
_,heightens,heighten,_
_,helps,help,_
_,heralds,herald,_
_,hesitates,hesitate,_
_,hides,hide,_
_,highlights,highlight,_
_,hinders,hinder,_
_,hinges,hinge,_
_,hints,hint,_
_,hires,hire,_
_,hits,hit,_
_,hoes,hoe,_
_,holds,hold,_
_,hollers,holler,_
_,homers,homer,_
_,hones,hone,_
_,honors,honor,_
_,hopes,hope,_
_,hosts,host,_
_,houses,house,_
_,hums,hum,_
_,hurries,hurry,_
_,hurts,hurt,_
_,identifies,identify,_
_,idles,idle,_
_,ignites,ignite,_
_,ignores,ignore,_
_,illuminates,illuminate,_
_,illustrates,illustrate,_
_,imagines,imagine,_
_,impacts,impact,_
_,impairs,impair,_
_,impedes,impede,_
_,implements,implement,_
_,implicates,implicate,_
_,implies,imply,_
_,imports,import,_
_,imposes,impose,_
_,impounds,impound,_
_,impresses,impress,_
_,imprisons,imprison,_
_,improves,improve,_
_,impugns,impugn,_
_,incarcerates,incarcerate,_
_,inches,inch,_
_,includes,include,_
_,incorporates,incorporate,_
_,increaseds,increased,_
_,increases,increase,_
_,incurs,incur,_
_,indemnifies,indemnify,_
_,indicates,indicate,_
_,indicts,indict,_
_,induces,induce,_
_,indulges,indulge,_
_,industrializes,industrialize,_
_,infiltrates,infiltrate,_
_,inflames,inflame,_
_,inflates,inflate,_
_,inflicts,inflict,_
_,influences,influence,_
_,informs,inform,_
_,infringes,infringe,_
_,infuriates,infuriate,_
_,infuses,infuse,_
_,ingests,ingest,_
_,ingratiates,ingratiate,_
_,inhibits,inhibit,_
_,initiates,initiate,_
_,injects,inject,_
_,injures,injure,_
_,innovates,innovate,_
_,insists,insist,_
_,inspects,inspect,_
_,inspires,inspire,_
_,installs,install,_
_,instills,instill,_
_,institutes,institute,_
_,insulates,insulate,_
_,insures,insure,_
_,integrates,integrate,_
_,intends,intend,_
_,intensifies,intensify,_
_,interconnects,interconnect,_
_,interests,interest,_
_,interferes,interfere,_
_,interprets,interpret,_
_,intervenes,intervene,_
_,interviews,interview,_
_,intimates,intimate,_
_,introduces,introduce,_
_,invades,invade,_
_,invents,invent,_
_,investigates,investigate,_
_,invests,invest,_
_,invites,invite,_
_,invokes,invoke,_
_,involves,involve,_
_,irks,irk,_
_,irons,iron,_
_,isolates,isolate,_
_,issues,issue,_
_,itemizes,itemize,_
_,jacks,jack,_
_,jeopardizes,jeopardize,_
_,joins,join,_
_,jokes,joke,_
_,jolts,jolt,_
_,judges,judge,_
_,juggles,juggle,_
_,jumps,jump,_
_,junks,junk,_
_,justifies,justify,_
_,keens,keen,_
_,keeps,keep,_
_,keys,key,_
_,kicks,kick,_
_,kidnaps,kidnap,_
_,kills,kill,_
_,kisses,kiss,_
_,knocks,knock,_
_,knows,know,_
_,kowtows,kowtow,_
_,labels,label,_
_,lags,lag,_
_,lands,land,_
_,languishes,languish,_
_,lashes,lash,_
_,lasts,last,_
_,laughs,laugh,_
_,launches,launch,_
_,launders,launder,_
_,lays,lay,_
_,leads,lead,_
_,leans,lean,_
_,leapfrogs,leapfrog,_
_,leaps,leap,_
_,learns,learn,_
_,leases,lease,_
_,leaves,leave,_
_,lectures,lecture,_
_,legislates,legislate,_
_,legitimizes,legitimize,_
_,lends,lend,_
_,lengthens,lengthen,_
_,lessens,lessen,_
_,lets,let,_
_,levels,level,_
_,levies,levy,_
_,liberalizes,liberalize,_
_,licenses,license,_
_,lies,lie,_
_,lifts,lift,_
_,lightens,lighten,_
_,lights,light,_
_,likes,like,_
_,limits,limit,_
_,lines,line,_
_,lingers,linger,_
_,links,link,_
_,liquefies,liquefy,_
_,liquidates,liquidate,_
_,listens,listen,_
_,lists,list,_
_,lives,live,_
_,loads,load,_
_,loans,loan,_
_,lobbies,lobby,_
_,locates,locate,_
_,locks,lock,_
_,lodges,lodge,_
_,logs,log,_
_,looks,look,_
_,looms,loom,_
_,loosens,loosen,_
_,looses,loose,_
_,loots,loot,_
_,loses,lose,_
_,loves,love,_
_,lowers,lower,_
_,lunches,lunch,_
_,lures,lure,_
_,mails,mail,_
_,maintains,maintain,_
_,makes,make,_
_,manages,manage,_
_,mandates,mandate,_
_,maneuvers,maneuver,_
_,manipulates,manipulate,_
_,manufactures,manufacture,_
_,mans,man,_
_,marches,march,_
_,markets,market,_
_,marks,mark,_
_,marries,marry,_
_,marvels,marvel,_
_,massages,massage,_
_,masters,master,_
_,matches,match,_
_,materializes,materialize,_
_,matters,matter,_
_,matures,mature,_
_,mauls,maul,_
_,maximizes,maximize,_
_,means,mean,_
_,measures,measure,_
_,mediates,mediate,_
_,meets,meet,_
_,melds,meld,_
_,melts,melt,_
_,mentions,mention,_
_,merges,merge,_
_,merits,merit,_
_,meshes,mesh,_
_,migrates,migrate,_
_,militates,militate,_
_,milks,milk,_
_,mimics,mimic,_
_,minces,mince,_
_,minds,mind,_
_,minimizes,minimize,_
_,mirrors,mirror,_
_,misinterprets,misinterpret,_
_,misrepresents,misrepresent,_
_,misses,miss,_
_,mistreats,mistreat,_
_,mitigates,mitigate,_
_,mixes,mix,_
_,moans,moan,_
_,mobilizes,mobilize,_
_,models,model,_
_,moderates,moderate,_
_,modernizes,modernize,_
_,modifies,modify,_
_,mollifies,mollify,_
_,monitors,monitor,_
_,monopolizes,monopolize,_
_,mops,mop,_
_,mortgages,mortgage,_
_,motivates,motivate,_
_,mounts,mount,_
_,moves,move,_
_,mows,mow,_
_,mulls,mull,_
_,multiplies,multiply,_
_,muses,muse,_
_,musters,muster,_
_,mutes,mute,_
_,nails,nail,_
_,names,name,_
_,narrows,narrow,_
_,navigates,navigate,_
_,naysays,naysay,_
_,needs,need,_
_,negotiates,negotiate,_
_,nets,net,_
_,networks,network,_
_,nominates,nominate,_
_,normalizes,normalize,_
_,notches,notch,_
_,notes,note,_
_,notices,notice,_
_,notifies,notify,_
_,nudges,nudge,_
_,nullifies,nullify,_
_,nurtures,nurture,_
_,obfuscates,obfuscate,_
_,objects,object,_
_,obscures,obscure,_
_,observes,observe,_
_,obtains,obtain,_
_,obviates,obviate,_
_,occasions,occasion,_
_,occupies,occupy,_
_,occurs,occur,_
_,offends,offend,_
_,offers,offer,_
_,offsets,offset,_
_,omits,omit,_
_,oozes,ooze,_
_,opens,open,_
_,operates,operate,_
_,opposes,oppose,_
_,opts,opt,_
_,orders,order,_
_,organizes,organize,_
_,originates,originate,_
_,ousts,oust,_
_,outfits,outfit,_
_,outflanks,outflank,_
_,outflies,outfly,_
_,outlasts,outlast,_
_,outlines,outline,_
_,outpaces,outpace,_
_,outperforms,outperform,_
_,outsells,outsell,_
_,outshines,outshine,_
_,out-smarts,out-smart,_
_,outstrips,outstrip,_
_,out-trades,out-trade,_
_,outweighs,outweigh,_
_,overbids,overbid,_
_,overcomes,overcome,_
_,overemphasizes,overemphasize,_
_,overhauls,overhaul,_
_,overlooks,overlook,_
_,overpowers,overpower,_
_,overpurchases,overpurchase,_
_,overreacts,overreact,_
_,overrides,override,_
_,overrules,overrule,_
_,oversees,oversee,_
_,overstates,overstate,_
_,overthrows,overthrow,_
_,overturns,overturn,_
_,overwhelms,overwhelm,_
_,owes,owe,_
_,owns,own,_
_,paces,pace,_
_,packages,package,_
_,packs,pack,_
_,paints,paint,_
_,pairs,pair,_
_,pales,pale,_
_,palms,palm,_
_,panics,panic,_
_,pans,pan,_
_,parachutes,parachute,_
_,parallels,parallel,_
_,parcels,parcel,_
_,parks,park,_
_,parries,parry,_
_,partakes,partake,_
_,participates,participate,_
_,parts,part,_
_,passes,pass,_
_,patronizes,patronize,_
_,paves,pave,_
_,pays,pay,_
_,peaks,peak,_
_,pedals,pedal,_
_,peddles,peddle,_
_,peers,peer,_
_,penalizes,penalize,_
_,penetrates,penetrate,_
_,performs,perform,_
_,permits,permit,_
_,perpetuates,perpetuate,_
_,persists,persist,_
_,persuades,persuade,_
_,peruses,peruse,_
_,petitions,petition,_
_,phases,phase,_
_,picks,pick,_
_,pieces,piece,_
_,piles,pile,_
_,pinches,pinch,_
_,pings,ping,_
_,pinpoints,pinpoint,_
_,pins,pin,_
_,pitches,pitch,_
_,pits,pit,_
_,placates,placate,_
_,places,place,_
_,plagues,plague,_
_,plants,plant,_
_,plans,plan,_
_,plays,play,_
_,pleads,plead,_
_,pleases,please,_
_,pleas,plea,_
_,plots,plot,_
_,plows,plow,_
_,plucks,pluck,_
_,plugs,plug,_
_,plummets,plummet,_
_,plunges,plunge,_
_,pockets,pocket,_
_,points,point,_
_,polices,police,_
_,polishes,polish,_
_,pollinates,pollinate,_
_,pollutes,pollute,_
_,polls,poll,_
_,ponders,ponder,_
_,popularizes,popularize,_
_,populates,populate,_
_,pops,pop,_
_,portends,portend,_
_,portrays,portray,_
_,poses,pose,_
_,positions,position,_
_,possesses,possess,_
_,postpones,postpone,_
_,posts,post,_
_,pots,pot,_
_,pounces,pounce,_
_,pounds,pound,_
_,pours,pour,_
_,practices,practice,_
_,precedes,precede,_
_,precludes,preclude,_
_,predicts,predict,_
_,predisposes,predispose,_
_,pre-empts,pre-empt,_
_,prefers,prefer,_
